,songid,artist,title,releasedate,album,cleaned_title
68,69,"BANG CHAN, CHANGBIN, HAN (Stray Kids), 김몽이 (Kim Mong I)",M.I.A (SKZ2020 Ver.),3/18/2020,SKZ2020,miaskz2020ver
69,70,"KM-Markit, J.Y. Park, HAN (Stray Kids), CHANGBIN, BANG CHAN",My Pace -Japanese ver.-,3/18/2020,SKZ2020,mypacejapanesever
70,71,"BANG CHAN, CHANGBIN, HAN (Stray Kids), Brian Atwood",MIROH (SKZ2020 Ver.),3/18/2020,SKZ2020,mirohskz2020ver
71,72,"TIME (KOR), GRVVITY",별생각 (TMT) (SKZ2020 Ver.),3/18/2020,SKZ2020,tmtskz2020ver
72,73,"BANG CHAN, CHANGBIN, HAN (Stray Kids), ​collapsedone, Fredrik “Fredro” Ödesjö",Mirror (SKZ2020 Ver.),3/18/2020,SKZ2020,mirrorskz2020ver
73,74,"BANG CHAN, CHANGBIN, HAN (Stray Kids), ​collapsedone, J-Hype, K​Z, ZENE THE ZILLA (제네 더 질라)",I am YOU (SKZ2020 Ver.),3/18/2020,SKZ2020,iamyouskz2020ver
74,75,"BANG CHAN, CHANGBIN, HAN (Stray Kids), HotSauce",Question (SKZ2020 Ver.),3/18/2020,SKZ2020,questionskz2020ver
75,76,"J.Y. Park, KM-Markit, 홍지상 (Hong Ji Sang), Herz Analog, HAN (Stray Kids), CHANGBIN, BANG CHAN",風 (Levanter) -Japanese ver.-,3/18/2020,SKZ2020,levanterjapanesever
76,77,,BOXER (SKZ2020 Ver.),3/18/2020,SKZ2020,boxerskz2020ver
77,78,"BANG CHAN, CHANGBIN, HAN (Stray Kids), Trippy (트리피)",District 9 (SKZ2020 Ver.),3/18/2020,SKZ2020,district9skz2020ver
78,79,"BANG CHAN, CHANGBIN, HAN (Stray Kids), TIME (KOR)",갑자기 분위기 싸해질 필요 없잖아요 (Awkward Silence) (SKZ2020 Ver.),3/18/2020,SKZ2020,awkwardsilenceskz2020ver
79,80,"BANG CHAN, CHANGBIN, HAN (Stray Kids), Trippy (트리피), 원택 (1Take) (KOR)",BEWARE (Grrr 총량의 법칙) (SKZ2020 Ver.),3/18/2020,SKZ2020,bewaregrrrskz2020ver
80,81,"BANG CHAN, CHANGBIN, HAN (Stray Kids), KAIROS, SamUIL",Chronosaurus (SKZ2020 Ver.),3/18/2020,SKZ2020,chronosaurusskz2020ver
81,82,"BANG CHAN, HAN (Stray Kids)",19 (SKZ2020 Ver.),3/18/2020,SKZ2020,19skz2020ver
82,83,"Nick Furlong, KM-Markit, HAN (Stray Kids), DallasK, CHANGBIN, BANG CHAN",Double Knot -Japanese ver.-,3/18/2020,SKZ2020,doubleknotjapanesever
83,84,"B.O. (KOR), K​Z, CHANGBIN",바보라도 알아 - Mixtape : On Track,3/25/2020,GO生,mixtapeontrack
84,85,"BANG CHAN, CHANGBIN, HAN (Stray Kids), KM-Markit, 아르마딜로 (Armadillo)",TOP (Japanese Version),4/28/2020,TOP,topjapaneseversion
85,86,"HAN (Stray Kids), KM-Markit",SLUMP (Japanese Version),5/6/2020,TOP,slumpjapaneseversion
86,87,"HAN (Stray Kids), CHANGBIN, BANG CHAN, 아르마딜로 (Armadillo)",TOP,5/13/2020,TOP,topkoreanversion
87,88,HAN (Stray Kids),SLUMP,5/13/2020,TOP,slumpkoreanversion
88,89,"HAN (Stray Kids), BANG CHAN",SLUMP (English Version),5/15/2020,TOP,slumpenglishversion
89,90,"BANG CHAN, CHANGBIN, HAN (Stray Kids), 아르마딜로 (Armadillo)",TOP (English Version),5/20/2020,TOP,topenglishversion
90,91,"HAN (Stray Kids), KM-Markit",SLUMP (Japanese Version) [神之塔 / Tower of God],6/3/2020,TOP,slumpjapaneseversiontowerofgod
91,92,,SLUMP (Instrumental),6/3/2020,TOP,slumpinstrumental
92,93,,TOP (Instrumental),6/3/2020,TOP,topinstrumental
93,94,"BANG CHAN, CHANGBIN, HAN (Stray Kids), 아르마딜로 (Armadillo), KM-Markit",TOP (Japanese Version) [神之塔 / Tower of God],6/3/2020,TOP,topjapaneseversiontowerofgod
94,95,"HAN (Stray Kids), CHANGBIN, BANG CHAN, ​earattack, 이스란 (Lee Seu Ran)",청사진 (Blueprint),6/17/2020,GO生,blueprint
95,96,"3RACHA, HAN (Stray Kids), CHANGBIN, BANG CHAN",神메뉴 (God’s Menu),6/17/2020,GO生,godsmenu
96,97,HAN (Stray Kids),일상 (Another Day),6/17/2020,GO生,anotherday
97,98,"베르사최 (VERSACHOI), HAN (Stray Kids), CHANGBIN, BANG CHAN",Phobia,6/17/2020,GO生,phobia
98,99,"손지아 (Son Ji Ah) (153/Joombas), CHANGBIN, BANG CHAN, Young Chance, 손영진 (Son Young Jin)",비행기 (Airplane),6/17/2020,GO生,airplane
99,100,"HAN (Stray Kids), CHANGBIN, BANG CHAN",타 (TA),6/17/2020,GO生,ta
100,101,"진리 (Jinli), HAN (Stray Kids), CHANGBIN, BANG CHAN",Pacemaker,6/17/2020,GO生,pacemaker
101,102,"3RACHA, HAN (Stray Kids), CHANGBIN, BANG CHAN",GO生,6/17/2020,GO生,go
102,103,BANG CHAN,Haven,6/17/2020,GO生,haven
103,104,"3RACHA, HAN (Stray Kids), CHANGBIN, BANG CHAN",Easy,6/17/2020,GO生,easy
104,105,"BANG CHAN, CHANGBIN, HAN (Stray Kids), 홍지상 (Hong Ji Sang)",Hello Stranger,7/16/2020,만찢남녀 (POP OUT BOY!) Part.1,hellostranger
105,106,,Hello Stranger (Instrumental),7/16/2020,만찢남녀 (POP OUT BOY!) Part.1,hellostrangerinstrumental
106,107,,IN生 Mashup,9/8/2020,<single>,inmashup
107,108,"BANG CHAN, CHANGBIN, HAN (Stray Kids)",토끼와 거북이 (The Tortoise and the Hare),9/14/2020,IN生,thetortoiseandthehare
108,109,"BANG CHAN, CHANGBIN, HAN (Stray Kids), 3RACHA",아니 (Any),9/14/2020,IN生,any
109,110,"3RACHA, BANG CHAN, CHANGBIN, HAN (Stray Kids)",Back Door,9/14/2020,IN生,backdoor
110,111,"I.N, SEUNGMIN, CHANGBIN, 웅킴 (Woong Kim), 이기 (Iggy) (KOR)",My Universe,9/14/2020,IN生,myuniverse
111,112,"BANG CHAN, CHANGBIN, HAN (Stray Kids)",B Me,9/14/2020,IN生,bme
112,113,"BANG CHAN, CHANGBIN",미친 놈 (Ex),9/14/2020,IN生,ex
113,114,"KASS, FELIX (Stray Kids), HYUNJIN, LEE KNOW",Wow,9/14/2020,IN生,wow
114,115,"BANG CHAN, CHANGBIN, HAN (Stray Kids)",We Go,9/14/2020,IN生,wego
115,116,"BANG CHAN, CHANGBIN, HAN (Stray Kids), KM-Markit",神メニュー (God’s Menu) -Japanese ver.-,10/7/2020,ALL IN,godsmenujapaneseversion
116,117,"KM-Markit, HAN (Stray Kids), CHANGBIN, BANG CHAN",Back Door -Japanese ver.-,10/13/2020,ALL IN,backdoorjapaneseversion
117,118,"J.Y. Park, BANG CHAN, CHANGBIN, HAN (Stray Kids), KM-Markit",ALL IN,10/20/2020,ALL IN,allin
118,119,"JUN2, CHANGBIN, KM-Markit",One Day,10/27/2020,ALL IN,oneday
119,120,"BANG CHAN, CHANGBIN, HAN (Stray Kids), KM-Markit",FAM,10/27/2020,ALL IN,fam
120,121,"J.Y. Park, 3RACHA",ALL IN (Korean Ver.) (English translation),11/26/2020,<single>,allinkoreanverenglishtranslation
121,122,"J.Y. Park, BANG CHAN, CHANGBIN, HAN (Stray Kids)",ALL IN (Korean Ver.),11/26/2020,<single>,allinkoreanver
122,123,"SUGA (슈가), Roman Campolo, RM, Supreme Boi, Pdogg, ​j-hope",Dionysus,12/18/2020,<single>,dionysus
123,124,,My House (Cover),12/28/2020,<single>,myhousecover
124,125,"LIM HYUNSIK, LEE MINHYUK (이민혁) (HUTA), PENIEL, Ilhoon (일훈), BANG CHAN, CHANGBIN, HAN (Stray Kids), FELIX (Stray Kids), EDEN (이든) (KOR), NATHAN (네이슨) (KOR)",기도 (I’ll Be Your Man) (Stray Kids Ver.),4/30/2021,KINGDOM RE-BORN Part.2,illbeyourmanstraykidsver
125,126,"Teddy Park, BANG CHAN, CHANGBIN, HAN (Stray Kids), FELIX (Stray Kids), 24, R.Tee, Bekuh BOOM",신뚜두뚜두 (God’s DDU-DU DDU-DU),5/20/2021,<single>,godsddududdudu
126,127,"BANG CHAN, CHANGBIN, HAN (Stray Kids)",WOLFGANG,5/28/2021,KINGDOM FINAL : WHO IS THE KING?,wolfgang
127,128,"BANG CHAN, CHANGBIN, Nick Lee, Josh Wei",오늘 밤 나는 불을 켜 (Up All Night),6/19/2021,SKZ-REPLAY,upallnight
128,129,"3RACHA, Kobee, Holy M",Mixtape: 애 (OH),6/26/2021,NOEASY,mixtapeoh
129,130,"HAN (Stray Kids), JINBYJIN (진바이진), Cazzi Opeia, Gabriel Brandes",말할 수 없는 비밀 (Secret Secret),8/23/2021,NOEASY,secretsecret
130,131,"BANG CHAN, CHANGBIN, HAN (Stray Kids), 베르사최 (VERSACHOI)",WOLFGANG (Album Version),8/23/2021,NOEASY,wolfgangalbumversion
131,132,"HAN (Stray Kids), SEUNGMIN, I.N, 아르마딜로 (Armadillo), Gump (KOR)",Gone Away,8/23/2021,NOEASY,goneaway
132,133,"BANG CHAN, CHANGBIN, HAN (Stray Kids), 홍지상 (Hong Ji Sang)",Silent Cry,8/23/2021,NOEASY,silentcry
133,134,"CHANGBIN, Millionboy (밀리언보이)","좋아해서 미안 (Sorry, I Love You)",8/23/2021,NOEASY,sorryiloveyou
134,135,"BANG CHAN, CHANGBIN, HAN (Stray Kids), 베르사최 (VERSACHOI)",CHEESE,8/23/2021,NOEASY,cheese
135,136,"BANG CHAN, HYUNJIN",강박 (Red Lights),8/23/2021,NOEASY,redlights
136,137,"BANG CHAN, CHANGBIN, HAN (Stray Kids), HotSauce",소리꾼 (Thunderous),8/23/2021,NOEASY,thunderous
137,138,"BANG CHAN, CHANGBIN, HAN (Stray Kids), Krysta Youngs, TELYKast",The View,8/23/2021,NOEASY,theview
138,139,"CHANGBIN, LEE KNOW, FELIX (Stray Kids), 베르사최 (VERSACHOI)",Surfin’,8/23/2021,NOEASY,surfin
139,140,"BANG CHAN, CHANGBIN, HAN (Stray Kids), 베르사최 (VERSACHOI)",DOMINO,8/23/2021,NOEASY,domino
140,141,"BANG CHAN, CHANGBIN, HAN (Stray Kids), ByHVN",씩 (SSICK),8/23/2021,NOEASY,ssick
141,142,"​earattack, BANG CHAN, CHANGBIN, HAN (Stray Kids), 깔로스 (Callous (KOR)), DaviDior",Star Lost,8/23/2021,NOEASY,starlost
142,143,"HotSauce, KM-Markit, HAN (Stray Kids), CHANGBIN, BANG CHAN",ソリクン (Thunderous) -Japanese Ver.-,9/23/2021,THE SOUND,thunderousjapaneseversion
143,144,"BANG CHAN, CHANGBIN, HAN (Stray Kids), KM-Markit, 아르마딜로 (Armadillo)",Scars,10/6/2021,THE SOUND,scars
144,145,"HAN (Stray Kids), BANG CHAN, KM-Markit",CALL,10/13/2021,Scars / ソリクン (Thunderous) -Japanese ver.-,call
145,146,"BANG CHAN, Nickko Young (노현동)",24 to 25,11/29/2021,Christmas EveL,24to25
146,147,"HAN (Stray Kids), ​earattack",Winter Falls,11/29/2021,Christmas EveL,winterfalls
147,148,"BANG CHAN, CHANGBIN, HAN (Stray Kids), 베르사최 (VERSACHOI), FELIX (Stray Kids), Junoflo (주노플로)",DOMINO (English Ver.),11/29/2021,Christmas EveL,dominoenglishversion
148,149,"BANG CHAN, CHANGBIN, HAN (Stray Kids), HotSauce",Christmas EveL,11/29/2021,Christmas EveL,christmasevel
149,150,"BANG CHAN, CHANGBIN, HAN (Stray Kids), 김박첼라 (Kim Park Chella)",Awaken (SKZ2021 Ver.),12/23/2021,SKZ2021,awakenskz2021ver
150,151,"BANG CHAN, LEE KNOW, CHANGBIN, HYUNJIN, HAN (Stray Kids), FELIX (Stray Kids), SEUNGMIN, I.N",그림자도 빛이 있어야 존재 (Behind The Light),12/23/2021,SKZ2021,behindthelight
151,152,"BANG CHAN, CHANGBIN, HAN (Stray Kids), This N That",3rd Eye (SKZ2021 Ver.),12/23/2021,SKZ2021,3rdeyeskz2021ver
152,153,,Scars (Korean Ver.),12/23/2021,SKZ2021,scarskoreanver
153,154,"BANG CHAN, CHANGBIN, HAN (Stray Kids), 영광의 얼굴들 (Glory Face)",ROCK (돌) (SKZ2021 Ver.),12/23/2021,SKZ2021,rockskz2021ver
154,155,"BANG CHAN, CHANGBIN, HAN (Stray Kids), 홍지상 (Hong Ji Sang)",0325 (SKZ2021 Ver.),12/23/2021,SKZ2021,0325skz2021ver
155,156,"BANG CHAN, LEE KNOW, CHANGBIN, HYUNJIN, HAN (Stray Kids), FELIX (Stray Kids), SEUNGMIN, I.N",For You,12/23/2021,SKZ2021,foryou
156,157,"BANG CHAN, CHANGBIN, HAN (Stray Kids), LEE KNOW, HYUNJIN, FELIX (Stray Kids), SEUNGMIN, I.N, ​collapsedone",Placebo,12/23/2021,SKZ2021,placebo
157,158,"BANG CHAN, LEE KNOW, CHANGBIN, HYUNJIN, HAN (Stray Kids), FELIX (Stray Kids), SEUNGMIN, I.N",Hoodie Season,12/23/2021,SKZ2021,hoodieseason
158,159,"BANG CHAN, CHANGBIN, HAN (Stray Kids), K​Z, SPACE ONE (KOR)",불면증 (Insomnia) (SKZ2021 Ver.),12/23/2021,SKZ2021,insomniaskz2021ver
159,160,,잠깐의 고요 (Maze of Memories) (SKZ2021 Ver.) (Romanized),12/23/2021,<single>,mazeofmemoriesskz2021verromanized
160,161,"BANG CHAN, CHANGBIN, HAN (Stray Kids), FRANTS",편 (My Side) (SKZ2021 Ver.),12/23/2021,SKZ2021,mysideskz2021ver
161,162,"BANG CHAN, CHANGBIN, HAN (Stray Kids), J;KEY (제이키) (KOR)",잠깐의 고요 (Maze of Memories) (SKZ2021 Ver.),12/23/2021,SKZ2021,mazeofmemoriesskz2021ver
162,163,"BANG CHAN, LEE KNOW, CHANGBIN, HYUNJIN, HAN (Stray Kids), FELIX (Stray Kids), SEUNGMIN, I.N",고장난 나침반 (Broken Compass),12/23/2021,SKZ2021,brokencompass
163,164,"BANG CHAN, CHANGBIN, HAN (Stray Kids), SLO (슬로)",극과 극 (N/S) (SKZ2021 Ver.),12/23/2021,SKZ2021,nsskz2021ver
164,165,"HYUNJIN, FELIX (Stray Kids), I.N, SEMI KIM",#LoveSTAY,12/31/2021,SKZ-REPLAY,lovestay
165,166,,ODDINARY Mashup,3/13/2022,<single>,oddinarymashup
166,167,"BANG CHAN, CHANGBIN, HAN (Stray Kids)",MANIAC,3/18/2022,ODDINARY,maniac
167,168,"BANG CHAN, LEE KNOW, SEUNGMIN, I.N",피어난다 (Waiting For Us),3/18/2022,ODDINARY,waitingforus
168,169,"BANG CHAN, CHANGBIN, HAN (Stray Kids)",땡 (FREEZE),3/18/2022,ODDINARY,freeze
169,170,"BANG CHAN, CHANGBIN",Lonely St.,3/18/2022,ODDINARY,lonelyst
170,171,"CHANGBIN, HYUNJIN, HAN (Stray Kids), FELIX (Stray Kids)",Muddy Water,3/18/2022,ODDINARY,muddywater
171,172,"BANG CHAN, CHANGBIN, HAN (Stray Kids)",Charmer,3/18/2022,ODDINARY,charmer
172,173,"BANG CHAN, CHANGBIN, HAN (Stray Kids)",거미줄 (VENOM),3/18/2022,ODDINARY,venom
173,174,"BANG CHAN, CHANGBIN, HAN (Stray Kids), 베르사최 (VERSACHOI), KM-Markit",MANIAC (Japanese Version),5/15/2022,CIRCUS,maniacjapaneseversion
174,175,"BANG CHAN, CHANGBIN, JUN2, KM-Markit",Your Eyes,6/1/2022,CIRCUS,youreyes
175,176,"BANG CHAN, CHANGBIN, HAN (Stray Kids), ​earattack, ​chAN’s, DARM, KM-Markit",CIRCUS,6/10/2022,CIRCUS,circus
176,177,"BANG CHAN, CHANGBIN, HAN (Stray Kids), Yo-Hei, DallasK",蜘蛛の巣 (VENOM) (Japanese Version),6/22/2022,CIRCUS,venomjapaneseversion
177,178,"BANG CHAN, HAN (Stray Kids), CHANGBIN, KM-Markit, 홍지상 (Hong Ji Sang)",Silent Cry (Japanese Version),6/22/2022,CIRCUS,silentcryjapaneseversion
178,179,"HAN (Stray Kids), Millionboy (밀리언보이), KM-Markit",Fairytale,6/22/2022,CIRCUS,fairytale
179,180,"BANG CHAN, CHANGBIN, HAN (Stray Kids), 베르사최 (VERSACHOI), JUN2",Mixtape : Time Out,8/1/2022,★★★★★ (5-STAR),mixtapetimeout
180,181,,MAXIDENT Mashup,9/19/2022,<single>,maxidentmashup
181,182,"Czaer, 마카롱 (MarkAlong), Stephen Lee, Bashment YC, Owo, BANG CHAN, CHANGBIN, HAN (Stray Kids)",HEYDAY,9/20/2022,스트릿 맨 파이터 (Street Man Fighter) Original Vol. 4 (Crew Songs),heyday
182,183,"HYUNJIN, FELIX (Stray Kids), LEE KNOW, BANG CHAN",TASTE,10/7/2022,MAXIDENT,taste
